perturbation,Reference (Pubmed ID),Annotation_summary,effect_direction,notes,Included in CellOracle lit review?,CO categorization,CO references,CO Annotation_1,CO Annotation_2,CO Annotation_3,source,,,
Mbd2,PMID34789717,GM,LoF promotes GM lineage,,no,Not reviewed,,,,,eric,,,
Mef2c,PMID18326819 PMID19211936,GM & ME,LoF inhibits lineage,"LoF inhibits megakaryocyte fate choice. Within the GM branch, GoF promotes monocyte fate over granulocyte fate. Lymphoid roles are also known, but neglected here.",yes,GM,"19221552, 18326819, 23435431",Cell fate switch between myeloid and lymphoid,,,eric,25107888,,
Meis1,PMID14713950,ME,LoF inhibits lineage,KO mouse has no megakaryocytes,,yes,ME,dies of hemorrhaging.,Silencing MEIS1 expression in progenitor cells induced a block in erythroid expansion and decreased megakaryocytic colony formation capacity.,,eric,,,
Mlxipl,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Mta2,PMID28483762,no known effect,none,MTA2 is associated with clonal hematopoiesis in GWAS.,no,Not reviewed,,,,,eric,,,
Mta3,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Myb,PMID2832742 PMID2461588 https://www.pnas.org/doi/10.1073/pnas.1805434115,unclear,unclear,"Defects in multiple lineages, including erythroid but not megakaryocyte.",yes,"GM & ME, stemness","29704633, 20686118","Stemness, self-renewal, cell cycle",Erythroid differentiation,,eric,,,
Myc,PMID21098095 PMID8798484 PMID1901940 PMID20940306 PMID19372257,GM & ME,Pleiotropic,"LoF yields fewer GMPs and erythrocytes and more megakaryocytes. GoF increases megakaryopoeisis, but blocks terminal differentiation and polyploidization in Mk. Also blocks terminal differentiation in erythrocytes. GoF in M1 leukemia cell line suppresses macrophage differentiation.",yes,"GM & ME, stemness","15545632, 19372257","Stemness, self-renewal, cell cycle","MEP, Mk, Erythroid fate",,eric,,,
Mycn,none,no known effect,none,,yes,No known role,,,,,eric,,,
Nfat5,none,no known effect,none,Other nfat family members have known roles but this one does not.,yes,No known role,,,,,eric,,,
Nfatc1,PMID23446734 PMID22311511 PMID29515759,GM & ME & DC,Highly pleiotropic,"LoF in some papers is achieved via VIVIT peptide, a selective NFAT inhibitor.",no,ME,"23446734, 30150396, 29515759","Megakaryocyte, erythrocyte",,,eric,,,
Nfatc2,PMID23446734 PMID22311511 PMID21750088,GM & ME & DC,Highly pleiotropic,"LoF in some papers is achieved via VIVIT peptide, a selective NFAT inhibitor.",yes,ME,21750088,"Megakaryocyte, erythrocyte",,,eric,,,
Nfatc3,none,no known effect,none,"Closely related to nfatc1,2,4",yes,"GM & ME, stemness","22311511, 25100642, 29515759",Cell cycle,"GMP differentiation, erythroid differentiation",,eric,,,
Nfe2,PMID7774011 PMID25721735,ME,LoF inhibits lineage,Major effect on megakaryocytes and only a minor effect on erythroid overall state. Essential for globin expression.,yes,"GM & ME, stemness",28648895,"Stemness, self-renewal, cell cycle",MEP,,eric,,,
Nfe2l2,PMID23434824,no known effect,none,"Alias is NRF2, but there is actually another completely different gene called NRF2. Known role regulating HSC proliferation, which we neglect. See also NFE2.",yes,"GM & ME, stemness","23434824, 25721735","Stemness, self-renewal, cell cycle",Relatively broad biological functions,,eric,,,
Nfia,PMID18056638 PMID16325577 PMID19542302 PMID20428206 PMID19542302,ME,LoF inhibits lineage and GoF promotes lineage,One paper found a monocyte-specific effect with no effect on granulocytes and another found a granulocyte-specific effect ? both using NB4 cells.,yes,"GM & ME, stemness","24041575, 19542302","Erythroid differentiation, granulocyte differentiation","Stemness, self-renewal",,eric,,,
Nfic,PMID36572750,GM,GoF promotes differentiation,GoF is shockingly common in myeloid leukemia.,yes,GM,"24041575, 25258084",GMP,Mk differentiation,"Stemness, self-renewal",eric,,,
Nfkb1,PMID19380823 PMID20708837,GM,LoF inhibits lineage,Loss of granulocytes specifically,yes,GM,19380823,GMP not affected,GMP,Granulocyte,eric,,,
Nfya,PMID39192759 PMID39327506 PMID9885213,no known effect,none,"Review paper mentions importance in HSC self-renewal and connections to important genes such as Cebpe, but no direct evidence for necessity in myelopoeisis.",yes,"GM & ME, stemness",16081537,"Stemness, self-renewal",,,eric,,,
Nme2,PMID19381783 PMID12848338 PMID12135660,ME,LoF inhibits lineage,Nme1 and Nme2 double KO mice are anemic. Mode of regulation is unclearcould be transcriptional or something else. Single KO Nme1 mice are not anemic.,no,Not reviewed,,NA,NA,NA,eric,,,
Nr0b2,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Nr2e1,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Nr3c1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Nr4a1,PMID21725321 PMID35496823 DOI10.4049/jimmunol.196.Supp.190.3,GM,LoF inhibits lineage,NR4a1 promotes myeloid over erythroid fate commitment.,no,Not reviewed,,,,,eric,,,
Olig1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Olig2,PMID27154355 PMID28760688,GM,LoF inhibits lineage,"The effect is specific to eosinophils, but myeloid-derived cancers respond to ectopic Olig2 expression.",no,Not reviewed,,NA,NA,NA,eric,,,
Pbx1,PMID23660001,ME,LoF inhibits lineage,Highly pleiotropic. LoF reduces the proportion of erythroid cells produced.,yes,No known role,,,,,eric,,,
Pgr,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Phf21a,none,no known effect,none,,yes,No known role,,,,,eric,,,
Pitx1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Plek,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Plscr1,PMID12010804 PMID23487022,GM,LoF inhibits GM lineage,,no,Not reviewed,,,,,eric,,,
Pou2f2,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Pou4f1,PMID20376082,Stemness,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Pou6f1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Prdm16,PMID31270104,ME,GoF inhibits lineage,,no,ME,31270104,"Megakaryocyte, erythrocyte",,,eric,,,
Prdm5,PMID31119897,no known effect,none,Affects proliferation in AML,yes,No known role,,,,,eric,,,
Prrx2,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Rara,PMID8394011 PMID9657762,GM,LoF inhibits lineage,Second reference discusses redundancy with Rarg: double KO is needed to observe the phenotype. Phenotype is granulocyte maturation.,yes,"GM & ME, stemness",21364283,"Stemness, self-renewal",,,eric,,,
Rarg,PMID9657762,GM,LoF inhibits lineage,First ref discusses reduncancy with Rara: double KO is needed to see the phenotype. Phenotype is granulocyte maturation.,no,Not reviewed,24383846,,Effect on erythroipoiesis does not operate in erythroids themselves,,eric,,,
Rbpj,PMID10835354,GM,GoF promotes differentiation,,no,Not reviewed,,,,,eric,,,
Rcor2,PMID24843136,ME,LoF inhibits lineage,Rcor1 and Rcor3 also have effects (but the direction is not consistent),no,Not reviewed,,NA,NA,NA,eric,,,
Rel,PMID33458695 PMID10518539,GM & ME,Pleiotropic,Double KO with RelA has a profound effect but single KO of Rel does not. Impaired erythropoiesis,yes,"Stemness, self-renewal",,impaired macrophage differentiation,granulocytosis,,eric,,,
Rela,PMID21076069 PMID10518539,GM & ME & DC,LoF inhibits lineage,Some phenotypes only manifest in a double knockout with highly similar NFKB subunit c-REL.,no,Not reviewed,,,,,eric,,,
Relb,PMID9881974,DC,LoF inhibits lineage,Paper notes both a cell-intrinsic and a secondary effect (in spleen vs thymus),no,Not reviewed,28348230,,"Relb has effects on myeloid cells, but the effects are not cell-autonomous.",,eric,,,
Rfx2,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Rfx8,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Rora,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Rorc,PMID26267530 PMID26267538,GM,LoF inhibits lineage,LoF blocks differentiation of myeloid-derived suppressor cells in favor of pro-inflammatory lineages.,no,Not reviewed,,NA,NA,NA,eric,,,
Runx1,PMID26021490 PMID17290219 PMID28179276 PMID15784726 PMID15784726 PMID24189977 PMID31431533,GM & ME,Pleiotropic,"Aliases AML1 or CBFA2. Importance in early hematopoiesis complicates downstream phenotyping. GoF inhibits erythroid maturation, but rescues Mk diff of iPSC?s from a family affected with a platelet disorder. GM colony forming is increased.",yes,"GM & ME, stemness","18295580, 31431533, 18250229","Stemness, self-renewal, cell cycle",,,eric,,,
Runx2,PMID24101375 PMID28179276 PMID27149837,DC,LoF inhibits lineage,Alias CBFA1.,yes,"GM & ME, stemness",19179305,"Stemness, self-renewal",,,eric,,,
Sall1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Satb1,PMID36987811,ME,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Setbp1,PMID22566606 PMID39104425 PMID23832012,GM & ME,LoF promotes ME lineage,Setbp1 is also very commonly mutated in leukemias.,no,Not reviewed,,NA,NA,NA,eric,,,
Sfpi1,PMID9694804 PMID8079170 PMID15914556 PMID17934488 PMID15867096 PMID9687512 PMID20510871 PMID9716585,GM & DC,LoF inhibits lineage,"Aliases: Sfpi-1 and PU.1. Multiple papers on PU.1 LoF/GoF find varied phenotypes. With LoF, GM progenitors can be generated but are only able to proliferate and cannot differentiate. Low dosage may increase the amount of granulocytes. The number of mk-erythrocyte progenitors is either normal or increased. Multiple pathways of DC production are impaired. One of the refs is from 27 years ago and uses the term ?myeloid? in a way that seems crucially inconsistent with its 2025 meaning, so I hesitate to interpret those results. There are also major lymphoid lineage effects, which we neglect here. Final ref is a review paper with a useful discussion.",yes,GM,"18295580, 15621533",GMP,Cell fate switch between MEP and GMP,,eric,,,
Six2,PMID31806659,ME,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Smarca5,PMID15965950 PMID25789315 PMID14617767,ME,LoF inhibits lineage,Smarca5 (alias Snf2h) is early-embryonic lethal but LoF in K562 indicates specific roles in erythropoiesis with no inhibition of GM lineage. Smarca4 has a known effect in granulocytes.,yes,"GM & ME, stemness",28276606,Broad cell function,"ATPase, chromatin remodeling","Stemness, self-renewal",eric,,,
Smarcc1,PMID18206867 PMID39088321,no known effect,none,Alias Baf155 or Srg3. SWI/SNF member. LoF is (doubly) embryonic lethal. Conditional LoF in embryonic hematopoiesis affects myeloid and erythroid differentiation. Effects on adult HSC derivatives are not known.,yes,"GM & ME, stemness","29596882, 33207205, 25789315","Stemness, self-renewal",Chromatin remodeling,,eric,,,
Smarcc2,PMID10535918,no known effect,none,"Alias BAF170. SWI/SNF member. LoF may affect myelopoiesis but direct evidence is confined to related genes, especially Smarcd2.",yes,"GM & ME, stemness","25789315, 28369036",Chromatin remodeling,Granulocyte,,eric,,,
Snai3,PMID22531927,no known effect,none,"LoF increases amount of myeloid cells relative to lymphoid, but no effect within the myeloid lineage.",no,Not reviewed,,,,,eric,,,
Sox13,PMID32579887 PMID37149693,no known effect,none,Suspected but not proven to drive neutrophil commitment. Sox13 ko partially rescues a leukemia model and increases macrophage output.,yes,No known role,17218525,"T-lymphocyte differentiation phenotype was reported, but myeloid differentiation phenotype is unknown.",,,eric,,,
Sox4,PMID24183681 PMID27175269 PMID22627767,no known effect,none,"Sox4 opposes the action of Cebpa. LoF promotes self-renewal. But, no known effect on downstream fate decisions.",yes,No known role,,,,,eric,,,
Sox9,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Sp100,none,no known effect,none,,yes,No known role,,,,,eric,,,
